IGOR
WAVES			ho			 xH2O			 xO2			 xH2
BEGIN
     1e-09			 1.9999423e-09			          1			 5.772965e-14
0.010000001			 0.019703856			 0.98029557			 5.7423623e-07
0.020000001			 0.038833788			 0.96116507			 1.1429538e-06
0.030000001			 0.057414514			 0.94258378			 1.7063951e-06
0.040000001			 0.07546935			 0.92452839			 2.2647923e-06
0.050000001			 0.093020308			 0.90697687			 2.8183671e-06
0.060000001			 0.11008819			 0.88990844			 3.3673324e-06
0.070000001			 0.12669267			 0.87330341			 3.9118916e-06
0.080000001			 0.14285237			 0.85714317			 4.452241e-06
0.090000001			 0.15858493			 0.84141009			 4.9885685e-06
       0.1			 0.17390704			 0.82608744			 5.5210547e-06
      0.11			 0.18883458			 0.81115937			 6.0498741e-06
      0.12			 0.20338259			 0.79661084			 6.5751939e-06
      0.13			 0.21756535			 0.78242755			 7.0971757e-06
      0.14			 0.23139646			 0.76859592			 7.6159762e-06
      0.15			 0.24488883			 0.75510304			 8.1317452e-06
      0.16			 0.25805476			  0.7419366			 8.6446291e-06
      0.17			 0.27090594			  0.7290849			 9.1547684e-06
      0.18			 0.28345354			  0.7165368			 9.6623003e-06
      0.19			 0.29570817			 0.70428166			 1.0167356e-05
       0.2			    0.30768			 0.69230933			 1.0670065e-05
      0.21			 0.31937868			 0.68061015			 1.1170551e-05
      0.22			 0.33081347			 0.66917486			 1.1668936e-05
      0.23			 0.34199319			 0.65799464			 1.2165338e-05
      0.24			 0.35292628			 0.64706106			 1.2659871e-05
      0.25			 0.36362082			 0.63636603			 1.3152647e-05
      0.26			 0.37408452			 0.62590183			 1.3643775e-05
      0.27			 0.38432479			 0.61566108			 1.4133361e-05
      0.28			 0.39434869			 0.60563668			 1.462151e-05
      0.29			 0.40416302			 0.59582187			 1.5108323e-05
       0.3			 0.41377428			 0.58621012			 1.5593899e-05
      0.31			 0.42318871			 0.57679521			 1.6078338e-05
      0.32			 0.43241229			 0.56757115			 1.6561732e-05
      0.33			 0.44145077			 0.55853219			 1.7044178e-05
      0.34			 0.45030965			 0.54967282			 1.7525767e-05
      0.35			 0.45899426			 0.54098774			 1.8006588e-05
      0.36			 0.46750966			 0.53247185			 1.8486733e-05
      0.37			 0.47586077			 0.52412027			 1.8966287e-05
      0.38			 0.48405228			 0.51592827			 1.9445339e-05
      0.39			 0.49208874			 0.50789134			 1.9923972e-05
       0.4			  0.4999745			  0.5000051			 2.0402271e-05
      0.41			 0.50771376			 0.49226536			 2.0880322e-05
      0.42			 0.51531056			 0.48466808			 2.1358204e-05
      0.43			 0.52276881			 0.47720935			 2.1836e-05
      0.44			 0.53009225			 0.46988543			 2.2313791e-05
      0.45			 0.53728452			 0.46269269			 2.2791657e-05
      0.46			  0.5443491			 0.45562763			 2.3269678e-05
      0.47			 0.55128935			  0.4486869			 2.3747933e-05
      0.48			 0.55810855			 0.44186723			 2.42265e-05
      0.49			 0.56480982			 0.43516548			 2.4705458e-05
       0.5			 0.57139619			 0.42857862			 2.5184886e-05
      0.51			  0.5778706			 0.42210373			 2.566486e-05
      0.52			 0.58423588			 0.41573797			 2.6145459e-05
      0.53			 0.59049476			 0.40947861			 2.6626761e-05
      0.54			 0.59664989			   0.403323			 2.7108842e-05
      0.55			 0.60270382			 0.39726859			 2.759178e-05
      0.56			 0.60865903			 0.39131289			 2.8075655e-05
      0.57			 0.61451792			 0.38545352			 2.8560541e-05
      0.58			  0.6202828			 0.37968815			 2.904652e-05
      0.59			 0.62595592			 0.37401455			 2.9533668e-05
       0.6			 0.63153945			 0.36843053			 3.0022066e-05
      0.61			 0.63703549			   0.362934			 3.051179e-05
      0.62			 0.64244608			 0.35752291			 3.1002923e-05
      0.63			 0.64777321			 0.35219529			 3.1495544e-05
      0.64			 0.65301879			 0.34694922			 3.1989733e-05
      0.65			 0.65818467			 0.34178284			 3.2485573e-05
      0.66			 0.66327266			 0.33669436			 3.2983145e-05
      0.67			 0.66828451			 0.33168201			 3.3482535e-05
